CountryCode,Language,Percentage
LVA,Ukrainian,2.9
MAC,Canton Chinese,85.6
MAC,English,0.5
MAC,Mandarin Chinese,1.2
MAC,Portuguese,2.3
MAR,Arabic,65.0
MAR,Berberi,33.0
MCO,English,6.5
MCO,French,41.9
MCO,Italian,16.1
MCO,Monegasque,16.1
MDA,Bulgariana,1.6
MDA,Gagauzi,3.2
MDA,Romanian,61.9
MDA,Russian,23.2
MDA,Ukrainian,8.6
MDG,French,0.0
MDG,Malagasy,98.9
MDV,Dhivehi,100.0
MDV,English,0.0
MEX,Mixtec,0.6
MEX,Náhuatl,1.8
MEX,Otomí,0.4
MEX,Spanish,92.1
MEX,Yucatec,1.1
MEX,Zapotec,0.6
MHL,English,0.0
MHL,Marshallese,96.8
MKD,Albaniana,22.9
MKD,Macedonian,66.5
MKD,Romani,2.3
MKD,Serbo-Croatian,2.0
MKD,Turkish,4.0
MLI,Bambara,31.8
MLI,Ful,13.9
MLI,Senufo and Minianka,12.0
MLI,Songhai,6.9
MLI,Soninke,8.7
MLI,Tamashek,7.3
MLT,English,2.1
MLT,Maltese,95.8
MMR,Burmese,69.0
MMR,Chin,2.2
MMR,Kachin,1.4
MMR,Karen,6.2
MMR,Kayah,0.4
MMR,Mon,2.4
MMR,Rakhine,4.5
MMR,Shan,8.5
MNG,Bajad,1.9
MNG,Buryat,1.7
MNG,Dariganga,1.4
MNG,Dorbet,2.7
MNG,Kazakh,5.9
MNG,Mongolian,78.8
MNP,Carolinian,4.8
MNP,Chamorro,30.0
MNP,Chinese,7.1
MNP,English,4.8
MNP,Korean,6.5
MNP,Philippene Languages,34.1
MOZ,Chuabo,5.7
MOZ,Lomwe,7.8
MOZ,Makua,27.8
MOZ,Marendje,3.5
MOZ,Nyanja,3.3
MOZ,Ronga,3.7
MOZ,Sena,9.4
MOZ,Shona,6.5
MOZ,Tsonga,12.4
MOZ,Tswa,6.0
MRT,Ful,1.2
MRT,Hassaniya,81.7
MRT,Soninke,2.7
MRT,Tukulor,5.4
MRT,Wolof,6.6
MRT,Zenaga,1.2
MSR,English,0.0
MTQ,Creole French,96.6
MTQ,French,0.0
MUS,Bhojpuri,21.1
MUS,Creole French,70.6
MUS,French,3.4
MUS,Hindi,1.2
MUS,Marathi,0.7
MUS,Tamil,0.8
MWI,Chichewa,58.3
MWI,Lomwe,18.4
MWI,Ngoni,6.7
MWI,Yao,13.2
MYS,Chinese,9.0
MYS,Dusun,1.1
MYS,English,1.6
MYS,Iban,2.8
MYS,Malay,58.4
MYS,Tamil,3.9
MYT,French,20.3
MYT,Mahoré,41.9
MYT,Malagasy,16.1
NAM,Afrikaans,9.5
NAM,Caprivi,4.7
NAM,German,0.9
NAM,Herero,8.0
NAM,Kavango,9.7
NAM,Nama,12.4
NAM,Ovambo,50.7
NAM,San,1.9
NCL,French,34.3
NCL,Malenasian Languages,45.4
NCL,Polynesian Languages,11.6
NER,Ful,9.7
NER,Hausa,53.1
NER,Kanuri,4.4
NER,Songhai-zerma,21.2
NER,Tamashek,10.4
NFK,English,0.0
NGA,Bura,1.6
NGA,Edo,3.3
NGA,Ful,11.3
NGA,Hausa,21.1
NGA,Ibibio,5.6
NGA,Ibo,18.1
NGA,Ijo,1.8
NGA,Joruba,21.4
NGA,Kanuri,4.1
NGA,Tiv,2.3
NIC,Creole English,0.5
NIC,Miskito,1.6
NIC,Spanish,97.6
NIC,Sumo,0.2
NIU,English,0.0
NIU,Niue,0.0
NLD,Arabic,0.9
NLD,Dutch,95.6
NLD,Fries,3.7
NLD,Turkish,0.8
NOR,Danish,0.4
NOR,English,0.5
NOR,Norwegian,96.6
NOR,Saame,0.0
NOR,Swedish,0.3
NPL,Bhojpuri,7.5
NPL,Hindi,3.0
NPL,Maithili,11.9
NPL,Nepali,50.4
NPL,Newari,3.7
NPL,Tamang,4.9
NPL,Tharu,5.4
NRU,Chinese,8.5
NRU,English,7.5
NRU,Kiribati,17.9
NRU,Nauru,57.5
NRU,Tuvalu,8.5
NZL,English,87.0
NZL,Maori,4.3
OMN,Arabic,76.7
OMN,Balochi,0.0
PAK,Balochi,3.0
PAK,Brahui,1.2
PAK,Hindko,2.4
PAK,Pashto,13.1
PAK,Punjabi,48.2
PAK,Saraiki,9.8
PAK,Sindhi,11.8
PAK,Urdu,7.6
PAN,Arabic,0.6
PAN,Creole English,14.0
PAN,Cuna,2.0
PAN,Embera,0.6
PAN,Guaymí,5.3
PAN,Spanish,76.8
PCN,Pitcairnese,0.0
PER,Aimará,2.3
PER,Ketšua,16.4
PER,Spanish,79.8
PHL,Bicol,5.7
PHL,Cebuano,23.3
PHL,Hiligaynon,9.1
PHL,Ilocano,9.3
PHL,Maguindanao,1.4
PHL,Maranao,1.3
PHL,Pampango,3.0
PHL,Pangasinan,1.8
PHL,Pilipino,29.3
PHL,Waray-waray,3.8
PLW,Chinese,1.6
PLW,English,3.2
PLW,Palau,82.2
PLW,Philippene Languages,9.2
